psraid;usr_r;sex;q10c;q14a;q14b;q14c;q14d;q14e;q14g;q14h;q17a;q17b;q17c;q17d;q17e;q17f;q17g;q18;q20;q22a;q22b;q22c;q22d;q22e;q24;q25;q26;q29;age;mar;educ;empl;inc;mobileprice
100004;Urban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;10; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;49;Never been married;High school graduate (grade 12 or GED certificate);Employed full-time;Less than $10,000;80
100008;Suburban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;80;Widowed;High school graduate (grade 12 or GED certificate);Employed full-time;$40,000 to under $50,000;82,3
100009;Rural;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree; ; ;Disagree;Agree;No, have never done this;No; ; ;86;Married;Some college, no 4-year degree (includes associate degree);Retired;$100,000 to under $150,000;84,8
100013;Urban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;2; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;80;Living with a partner;Some college, no 4-year degree (includes associate degree);Retired; ;85
100027;Suburban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;1; ;Agree;Disagree; ;Disagree;Agree;No, have never done this;No; ; ;77;Married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Retired;Less than $10,000;86,4
100031;Urban;Female;Yes;No;No;Yes;No;No;No;No; ; ; ; ; ; ; ;6; ;Disagree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;48;Living with a partner;High school graduate (grade 12 or GED certificate);Disabled;$40,000 to under $50,000;87
100032;Suburban;Male;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;Never been married;Some college, no 4-year degree (includes associate degree);Not employed for pay; ;87,6
100038;Urban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;1; ;Agree;Agree;Neither agree nor disagree/Agree some-Disagree some;Disagree;Agree;No, have never done this;No; ; ;38;Never been married;High school graduate (grade 12 or GED certificate);Employed full-time;$50,000 to under $75,000;89,9
100039;Suburban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;2; ;Agree;Agree;Disagree;Disagree;Disagree;No, have never done this;No; ; ;52;Married;High school incomplete (grades 9-11);Disabled;$20,000 to under $30,000;90
100042;Suburban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;3; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;72;Married;College graduate (B.S., B.A., or other 4-year degree);Employed part-time; ;92,2
100047;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ; ; ;Agree;Disagree;Agree;Disagree;Agree;No, have never done this;No; ; ;85;Never been married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Retired; ;92,3
100050;Rural;Female;Yes;No;No;Yes;No;No;Yes;No; ; ; ; ; ; ; ;1; ;Agree;Agree;Disagree;Agree;Agree;No, have never done this;No; ; ;62;Married;College graduate (B.S., B.A., or other 4-year degree);Employed full-time;$30,000 to under $40,000;92,4
100052;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this; ; ; ; ;Married;High school graduate (grade 12 or GED certificate);Retired;$20,000 to under $30,000;95,1
100057;Suburban;Female;Yes;No;No;Yes;No;No;No;No; ; ; ; ; ; ; ;1; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;Yes; ; ;43;Married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Employed part-time;$50,000 to under $75,000;96,3
100058;Rural;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;69;Married;High school graduate (grade 12 or GED certificate);Retired;$50,000 to under $75,000;96,6
100059;Rural;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;72;Married;High school incomplete (grades 9-11);Retired;$10,000 to under $20,000;98,1
100067;Urban;Female;Yes;No;Yes;Yes;Yes;No;No;No; ; ; ; ; ; ; ;50;75;Agree;Agree;Disagree;Disagree;Agree;Phone can NOT download apps;No; ; ;30;Never been married;High school graduate (grade 12 or GED certificate);Employed full-time;$40,000 to under $50,000;99,3
100071;Urban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;1; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ; ;Married;Some college, no 4-year degree (includes associate degree);Not employed for pay;$20,000 to under $30,000;100,5
100078;Suburban;Male;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;5;3;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;51;Divorced;College graduate (B.S., B.A., or other 4-year degree);Employed full-time;$50,000 to under $75,000;103,4
100081;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Disagree;Disagree;Disagree;Agree;No, have never done this;No; ; ;78;Widowed;High school graduate (grade 12 or GED certificate);Employed part-time; ;104
100083;Suburban;Male;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;71;Married;Some college, no 4-year degree (includes associate degree);Retired;$10,000 to under $20,000;104
100086;Urban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;3; ;Agree;Agree;Agree;Disagree;Agree;Phone can NOT download apps; ; ; ;65;Married;Some college, no 4-year degree (includes associate degree);Retired;$50,000 to under $75,000;104,3
100089;Suburban;Male;Yes;No;No;Yes;No;No;No;No; ; ; ; ; ; ; ;5; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;Yes; ; ;63;Married;College graduate (B.S., B.A., or other 4-year degree);Have own business/self-employed;$100,000 to under $150,000;104,5
100093;Urban;Female;Yes;No;Yes;Yes;Yes;No;No;No; ; ; ; ; ; ; ;5;10;Agree;Agree;Agree;Disagree;Agree;No, have never done this; ; ; ;42;Married;Some college, no 4-year degree (includes associate degree);Employed part-time;$50,000 to under $75,000;105,4
