psraid;usr_r;sex;q10c;q14a;q14b;q14c;q14d;q14e;q14g;q14h;q17a;q17b;q17c;q17d;q17e;q17f;q17g;q18;q20;q22a;q22b;q22c;q22d;q22e;q24;q25;q26;q29;age;mar;educ;empl;inc;mobileprice
100004;1;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;1;1;2;1;2;2; ; ;49;6;3;1;1;80
100008;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;80;5;3;1;5;82,3
100009;3;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1; ; ;2;1;2;2; ; ;86;1;5;3;8;84,8
100013;1;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;2; ;1;1;2;2;1;2;2; ; ;80;2;5;3; ;85
100027;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;2; ;2;1;2;2; ; ;77;1;7;3;1;86,4
100031;1;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;6; ;2;1;1;2;1;2;2; ; ;48;2;3;6;5;87
100032;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;6;5;4; ;87,6
100038;1;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;1;3;2;1;2;2; ; ;38;6;3;1;6;89,9
100039;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;2; ;1;1;2;2;2;2;2; ; ;52;1;2;6;3;90
100042;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;3; ;1;1;2;2;1;2;2; ; ;72;1;6;2; ;92,2
100047;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;1;2;1;2;2; ; ;85;6;7;3; ;92,3
100050;3;2;1;2;2;1;2;2;1;2; ; ; ; ; ; ; ;1; ;1;1;2;1;1;2;2; ; ;62;1;6;1;4;92,4
100052;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;1;1;2;1;2; ; ; ; ;1;3;3;3;95,1
100057;2;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;1; ;1;1;2;2;1;2;1; ; ;43;1;7;2;6;96,3
100058;3;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;1;2;2;1;2;2; ; ;69;1;3;3;6;96,6
100059;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;72;1;2;3;2;98,1
100067;1;2;1;2;1;1;1;2;2;2; ; ; ; ; ; ; ;50;75;1;1;2;2;1;3;2; ; ;30;6;3;1;5;99,3
100071;1;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;1;1;2;1;2;2; ; ; ;1;5;4;3;100,5
100078;2;1;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;5;3;1;1;2;2;1;2;2; ; ;51;3;6;1;6;103,4
100081;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;2;2;2;1;2;2; ; ;78;5;3;2; ;104
